Other Categories,Link,Reviewer,Rating,Title,Review
Customer Service;Shopper Issues;Theft;,https://ca.trustpilot.com/reviews/5fd77f92755dc107e0c290cc,YBGamingxo,1 star: Bad,Instacart is beyond trash my shopper…,Instacart is beyond trash my shopper added items without my approval so they sent another and he left out items. I still have yet to receive my refund plus their customer phone support is trash just like their service
Customer Service;Pricing;Shopper Issues;Theft;,https://ca.trustpilot.com/reviews/5fd7779a755dc10b48223859,Nikki Vedo,1 star: Bad,!!!!!!!!!!Shoppers for instacart…,!!!!!!!!!!Shoppers for instacart beware!!!!!!!!!!!Customers will bait you with big tips and once the order is delivered will take the full tip away. After lugging 6 boxes filled with items downhill and up flights of stairs for a $134 tip the customer removed the tip amount claiming all items were damaged and accused me of stealing a comforter that wasn’t even on the receipt. The customer did not offer photo proof and Instacart has no shopper support. The order was for $161 total for 90 items from Costco. I walked away with $34 for the entire order after the customer removed their tip. Instacart is a scam!!!
Customer Service;Shopper Issues;Theft;,https://ca.trustpilot.com/reviews/5fd6e886755dc10b4821ba37,Akanksha Gautam,1 star: Bad,Worst customer service,"I am an instacart customer past many years more than three years now .It’s unfortunate how their customer care works ..Received a spoilt chicken which had gone slimy and when reported it to customer care they told me they can do nothing about it .Here is the thing .I don’t think when you shop groceries for 100s of dollars you are expecting a return of 11$ .It’s more about how they treat their loyal customers .I found that customer service is lacking and unfortunate that they deal with their customers .Just to let them know there are 100s of other online grocery shopping apps .If you really want to stay in business ,improve your customer service .Will not be using their app going forward for sure"
Shopper Issues;Theft;,https://ca.trustpilot.com/reviews/5fd6c00a755dc107e0c200c2,Katie Musser,1 star: Bad,Awful,"Awful. Shopper took 2 1/2 hours to pick out three simple items at the store. 30 seconds after he marked it as check out complete and en route, he marked it as delivered but my groceries were nowhere to be found and I live 25 minutes from the store so there’s no way he could’ve made it there in 30 seconds. The proof of delivery photo was just a black square. Guessing he stole my groceries now I’m left with nothing to eat for dinner because the store is now closed. First and last time using instacart."
Pricing;Shopper Issues;Customer Service;Theft;Wrong Product;,https://ca.trustpilot.com/reviews/5fd55ee5755dc107e0c1340b,Vanessa Morris,1 star: Bad,Shady shoppers who literally steal from customers,"So far I really haven't had any issues other than an item or 2 missing out of my order. I get it, it happens and the shoppers probably have multiple orders they shop for. However, I placed an order for 8 items at Publix (Florida grocery store) that totaled $54.34. I see 3 different things added to my order that I DEFINITELY DID NOT add. The problem with these is the 3 of them combined cost $141.97. SO NOW my order totaled at $196.31. I took a screen shot of the added items and reached out to Erik (my shopper). I said why were these added I did not add these. His response ""Yes"".... So, my next message was ""I want the receipt for my order when you drop off the groceries""... Next notification I received seconds after that message to him was ""your order has been delivered"". I was literally standing out front in my driveway when that notification came through.I called customer service. BOY are they a joke. They answered, apologized and they said they would issue a full refund for my order and it would be deposited in 5-10 business days. I don't think it is fair I have to wait 5-10 business days for their shopper stealing from a customer and racking up the bill more than twice the amount I originally planned on spending and esp before Christmas. I still have Christmas presents to purchase, which this now sets me back a little. So, moving forward. I told the customer service representative I would like to take more action and calling the cops. The customer service rep kept repeating himself saying Instacart is handling it. So, if anything legal happens they don't give you any information whatsoever if you decide to escalate the situation to local authorities. I asked what their policy was regarding legalities. The customer service rep had no idea. Instacart is a multimillion possible multibillion dollar corporation with no policies regarding legalities. They just keep saying ""Instacart is taking care of it"". This raises concerns, esp if something drastic did ever happen. What if this shopper comes to my house (since he knows my address now) because I reported him and retaliates against me? What then? What happens at that point (god forbid it happens)? Instacart has no company policy in this regard. I now have to keep an eye on my bank account and hope they do in fact refund my money their shopper stole from me. I really do not recommend Instacart. I know it is convenient when you don't have the time to shop but when something like this happens it truly is not worth it. I run 2 successful shops on Etsy, when I issue a refund to a customer the money is deposited within 24-48 hours. I know Instacart can in fact have the money deposited quicker. They just choose not to."
Cancellation;Pricing;Shopper Issues;Customer Service;Theft;Wrong Product;,https://ca.trustpilot.com/reviews/5fd4e31e755dc10b48208c42,Tina Coyle,1 star: Bad,Credit on future orders rather than Refunds?!?!?!?,"Instead of a refund for items not received I got a credit towards a future purchase. WHAT THE HECK!?!?!?!?! I would have to pay more in delivery fees, service fees (YES, THEY HAVE MULTIPLE FEE CATEGORIES) and tips than the cost of the items, and would have to go through the same crap experience, to me this amounts to EXTORTION or STEALING. They charged me for items I didn't get, and now won't return the money unless I spend more with them. They take too many orders then blame high volume for poor customer service. I would happily pick a delivery window for a following day rather then get garbage service. Taking my money for a service you are too overbooked to provide is not ethical.If you contact them about multiple issues (in my case expensive items that I was charged for but never received and fresh vegetables waaayyy beyond the questionable stage - they were literally dissolving into disgusting goo) they will take several days to only address the first issue.A while back I tried using them to get my mother some groceries in another city, items were never delivered although they claim they were and we were charged and had to fight over a refund. She has a doorbell camera (so we have proof they didn't arrive) and an easy to identify/find apartment and we get deliveries from restaurants and such without issues all the time. I've tried using the app several times over the last year, thinking that perhaps they just needed time to adjust to the larger volume of Covid orders and I didn't want to give up on them in the middle of a crisis. But nothing is improving, if anything customer service is going downhill. I've been having much better luck with AMAZON FRESH and will use them exclusively for deliveries from now on. Highly recommend them. If you have an Amazon Prime Membership there are no delivery fees as well, WIN WIN!"
Shopper Issues;Pricing;Theft;,https://ca.trustpilot.com/reviews/5fd3e56e755dc107e0c02042,Megan Huyck,1 star: Bad,"Didn't receive half my order, but was charged","I placed a small order, was charged for the entire order and didn't get half the order. I didn't have a way to contact the shopper to notify them or ask about it. I contacted the store I purchased from and instacart and won't hear anything for at least a day. Definitely not shopping at that store or using instacart again."
Pricing;Shopper Issues;Customer Service;Theft;Wrong Product;,https://ca.trustpilot.com/reviews/5fd054bf755dc10b481c32b8,Zakir Ansari,1 star: Bad,I used them only 2or 3 times for like $100 supplies and cost me $1300 …,"I used them only 2or 3 times for small test supplies. I was cheated in my supplies the first time. It was of poor quality and less Quantity. Next time I bought an electronic scale and checked. There was no need to check. the robbery was so evident. one Papaya was 2.8 Kg and an orange 1/2 Kg. Everything was not according to weight charged. When I reported to instacart, with a chart of charged weight and actual weight. I got a reply that intacart is refunding the short-changed/short supplied price difference. Nobody had the courtesy to explain daylight robbery. It is like if you catch a thief, instead of going to jail he agrees to return stolen goods but charges you for his time and effort in conducting the robbery. (like the fee and tip Charged) I checked their service only twice but they charged me C$112.00 yearly fee there is no reunfd option. I don't remember becoming or applying for membership.So the  supplies of around $100 has cost me about $130 in delivery charges. Plus time and and aggravation."
Shopper Issues;Theft;Wrong Product;,https://ca.trustpilot.com/reviews/5fceb2db755dc107689705cf,Mary,1 star: Bad,I would give Instacart zero stars but…,"I would give Instacart zero stars but that isn't an option.    I have ordered from the company before.  They have delivered to the wrong address or given me the wrong item (cabbage instead of lettuce, etc.)  This time takes the cake.  My order from Costco was delivered 1 hour after it was promised.  I received one item out of 7.  Where did the other items go?  Where was my shopper?  The one item was delivered by a random delivery person.  Instacart has the potential to do great things.  Hire good people and train them.  It's not that difficult.  You have lost a customer."
Pricing;Customer Service;Shopper Issues;Theft;,https://ca.trustpilot.com/reviews/5fcead02755dc10768970162,Marsha McKay,1 star: Bad,Got totally ripped off from “Diego A”,"Got totally ripped off from “Diego A”. Received all the texts like my order was picked up and on it’s way but nothing came. Instacart reported it as delivered. When I called Instacart the next day they took NO responsibility even though my order was “shopped” and paid for. BTW Kroger, who had nothing to do with “Diego A” from Instacart, made it right for me by giving me a gift certificate when the problem wasn’t on their side of the transaction. Yea Kroger. Boo Instacart."
Cancellation;Pricing;Shopper Issues;Customer Service;Theft;,https://ca.trustpilot.com/reviews/5fce62e8755dc105f02caf81,B Washington,1 star: Bad,"A man pretended to shop and deliver my order, but actually stole $400 and never did either","A man was able to pose as a woman named “Barbara”.  He was able to accept my delivery order, have access to my card, and he pretended to shop for my groceries.  I say pretend because somehow, he shopped a large order in under 10 minutes, got all items no substitutions, and added $150 to my order under an item called “Prim”He then checked out and delivery was pending.  When I seen my $250 order was now over $400 I reached out to him and he switched my delivery to delivered.  I called instacart, and at first they wanted to tell him to return the “prim” and bring me my groceries.  I told them he doesn’t have them, he faked the whole thing, and he’s just straight up stealing $400.  I also told them I would never be ok with this man coming to my home, and I wanted a full refund.  They eventually cancelled my order and black listed him, but my refund won’t show up for 5-10 days.  That’s all the money I had and now I’m broke with no groceries.   Let me repeat: a man posed as a woman and pretended to shop, added $150 in items I didn’t request, and then when I asked him what the charge was for, he switched my order to “delivered” and made off with $400 of my money, which won’t be refunded for 5-10 days."
Delivery Issues;Customer Service;Shopper Issues;Theft;,https://ca.trustpilot.com/reviews/5fcd26e35e693f0704a1e6b3,Jorge Jefe,1 star: Bad,Ordered on Wednesday for delivery by…,Ordered on Wednesday for delivery by noon Saturday 12/5/2020. Not delivered . Automatically rescheduled for Sunday. by 11am. Still not delivered.We are unable to go out or we wouldn't use them.No way to contact them. Phone says to go to the web. No way to contact them about pending orders on the web.Chat wait time over 3 hours and still no chat.
Customer Service;Pricing;Shopper Issues;Theft;,https://ca.trustpilot.com/reviews/5fcc0d625e693f0704a1418c,Kim,1 star: Bad,Absolutely awful,Absolutely awful! My order did not contain cat food and did contain cream. I received cat food but no cream. They would not refund the cat food. They refunded the cream instead of delivering it forcing me to go shopping anyway. They would not pick up the cat food even though my elderly mom just had her cat put to sleep. They added insult to injury on the phone refusing to believe cat food was charged and delivered and wouldn't allow me to email the receipt for proof. This is not customer service. This is frustration and a waste of time.
Customer Service;Pricing;Shopper Issues;Theft;,https://ca.trustpilot.com/reviews/5fcb85a95e693f0704a0cd48,Karamia Tanner,1 star: Bad,Instacart is consistently THE WORST,"Instacart is consistently THE WORST I have EVER had the displeasure of using. Nothing ever is done 100% correctly, shoppers are constantly lazy and lie straight to your face, and frequently steal items.And customer service? A fūckíng joke. Good luck getting them to get their thumbs out of their asses to do ANYTHING within a week. God forbid you need a refund, you probably won't get it for two weeks. IF they actually bother to refund you in the first place, that is.I have wasted WEEKS of my time on their bullshíť, calling them, chatting, listening to two agents argue in broken English in the same call. They do NOT give a single flying fųck about the customer, they scam you by marking up EVERYTHING, and refuse to honor in-store sales. I've also had their own shoppers mark up more on my order without my permission. Don't EVER subject yourself to the protracted torture of trying to use Instacart.It'd be less painful, and faster, to just set yourself on fųckíng fire."
Delivery Issues;Shopper Issues;Cancellation;Theft;,https://ca.trustpilot.com/reviews/5fc960ec5e693f07049f2050,RT Finney,1 star: Bad,Started using because of quarantine,Started using because of quarantine. Made the order and received confirmation of the order being available the following day. Four the next four days they continued to delay day after day until I canceled. Deleted the app.
